singer,singerLabel
http://www.wikidata.org/entity/Q3521589,पी उन्नीकृष्णन
http://www.wikidata.org/entity/Q3523638,देवी श्री प्रसाद
http://www.wikidata.org/entity/Q3525273,सेमंगुडी श्रीनिवास अय्यर
http://www.wikidata.org/entity/Q3525389,अनुराधा श्रीराम
http://www.wikidata.org/entity/Q3626950,ज़ैन मलिक
http://www.wikidata.org/entity/Q3631166,मार्गरेट वूड्रो विलसन
http://www.wikidata.org/entity/Q3631233,मलिका पुखराज
http://www.wikidata.org/entity/Q3630686,सुमन कल्याणपुर
http://www.wikidata.org/entity/Q3630868,हीराभाई बादोडेकर
http://www.wikidata.org/entity/Q3630917,केसरबाई केरकर
http://www.wikidata.org/entity/Q3629911,एन एस राजहंस बालगंधर्व
http://www.wikidata.org/entity/Q3630004,डोनाल्ड बारसव्ल
http://www.wikidata.org/entity/Q3630336,सुरैया
http://www.wikidata.org/entity/Q3631779,परवीन सुल्ताना
http://www.wikidata.org/entity/Q3631825,प्रशान्त तामांग
http://www.wikidata.org/entity/Q3632367,रूपमती
http://www.wikidata.org/entity/Q3530897,अरैकुडी रामानुज अयंगार
http://www.wikidata.org/entity/Q3531959,सिवकार्थिकेयन
http://www.wikidata.org/entity/Q3534654,पीयूष मिश्रा
http://www.wikidata.org/entity/Q3632513,सुलक्षणा पंडित
http://www.wikidata.org/entity/Q3632518,राघव सच्चर
http://www.wikidata.org/entity/Q3632664,मोगुभाई कुर्दीकर
http://www.wikidata.org/entity/Q3633203,अली ज़फ़र
http://www.wikidata.org/entity/Q3534673,एम के मुत्थु
http://www.wikidata.org/entity/Q3631241,रेश्मा
http://www.wikidata.org/entity/Q3631420,राहुल वैद्य
http://www.wikidata.org/entity/Q3631714,मिका सिंह
http://www.wikidata.org/entity/Q3633266,सुधीर फड़के
http://www.wikidata.org/entity/Q3633743,नागराज राव हवलदार
http://www.wikidata.org/entity/Q3633978,प्रीतम
http://www.wikidata.org/entity/Q3634230,केके
http://www.wikidata.org/entity/Q3635993,मिस पूजा
http://www.wikidata.org/entity/Q3391654,जेसिका ड्राइवहै
http://www.wikidata.org/entity/Q3536517,अन्नामाचार्य
http://www.wikidata.org/entity/Q3537017,सी वैद्यनाथ भगवतार
http://www.wikidata.org/entity/Q3634007,किशन महाराज
http://www.wikidata.org/entity/Q3319412,वर्जिनिया जॉन्सन
http://www.wikidata.org/entity/Q3663598,कैथी स्मिथ
http://www.wikidata.org/entity/Q3429995,पालिवई भानुमति रामकृष्ण
http://www.wikidata.org/entity/Q3694803,बुशरा अंसारी
http://www.wikidata.org/entity/Q3694938,कुलदीप मानक
http://www.wikidata.org/entity/Q3555213,क्लैमेन पिस्क
http://www.wikidata.org/entity/Q4022198,संदीप आचार्य
http://www.wikidata.org/entity/Q3874799,वोलोडिमिर ज़ेलेंस्की
http://www.wikidata.org/entity/Q3899724,अशोक कुमार
http://www.wikidata.org/entity/Q3595122,बाबा सहगल
http://www.wikidata.org/entity/Q3595144,ऊषा उत्थुप
http://www.wikidata.org/entity/Q3595158,ज़िया ख़ान
http://www.wikidata.org/entity/Q3595190,ग़ुलाम अली
http://www.wikidata.org/entity/Q3595213,लकी अली
http://www.wikidata.org/entity/Q3595270,उस्ताद अब्दुल करीम खाँ
http://www.wikidata.org/entity/Q3739265,फ़ेन्नी केडियो
http://www.wikidata.org/entity/Q3595111,प्रदीप गीतकार
http://www.wikidata.org/entity/Q3595116,बेगम अख्तर
http://www.wikidata.org/entity/Q3595120,सिद्धेश्वरी देवी
http://www.wikidata.org/entity/Q3595475,ईला अरुण
http://www.wikidata.org/entity/Q3595869,तलत महमूद
http://www.wikidata.org/entity/Q3595893,जुबिन गर्ग
